Trait Heritability,Number of Simulated QTL,Group 1,Group 2,n1,n2,Adjusted p-value,Significance
0.8,1,EMMA,LMM-EXACT-LOCO,50,50,0.60209,ns
0.8,1,LMM-EXACT,LMM-EXACT-INBRED,50,50,0.59338,ns
0.8,1,LMM-EXACT,LMM-EXACT-LOCO,50,50,0.0077,**
0.8,1,LMM-EXACT-INBRED,LMM-EXACT-LOCO,50,50,0.21354,ns
0.9,1,EMMA,LMM-EXACT,50,50,0.19981,ns
0.9,1,EMMA,LMM-EXACT-INBRED,50,50,1,ns
0.9,1,EMMA,LMM-EXACT-LOCO,50,50,0.26486,ns
0.9,1,LMM-EXACT,LMM-EXACT-INBRED,50,50,0.19981,ns
0.9,1,LMM-EXACT,LMM-EXACT-LOCO,50,50,0.00103,**
0.9,1,LMM-EXACT-INBRED,LMM-EXACT-LOCO,50,50,0.26486,ns
0.1,5,EMMA,LMM-EXACT,6,10,1,ns
0.1,5,EMMA,LMM-EXACT-INBRED,6,8,1,ns
0.1,5,EMMA,LMM-EXACT-LOCO,6,2,1,ns
0.1,5,LMM-EXACT,LMM-EXACT-INBRED,10,8,1,ns
0.1,5,LMM-EXACT,LMM-EXACT-LOCO,10,2,1,ns
0.1,5,LMM-EXACT-INBRED,LMM-EXACT-LOCO,8,2,1,ns
0.2,5,EMMA,LMM-EXACT,22,31,1,ns
0.2,5,EMMA,LMM-EXACT-INBRED,22,24,1,ns
0.2,5,EMMA,LMM-EXACT-LOCO,22,19,1,ns
0.2,5,LMM-EXACT,LMM-EXACT-INBRED,31,24,1,ns
0.2,5,LMM-EXACT,LMM-EXACT-LOCO,31,19,0.67035,ns
0.2,5,LMM-EXACT-INBRED,LMM-EXACT-LOCO,24,19,1,ns
0.3,5,EMMA,LMM-EXACT,36,32,0.95233,ns
0.3,5,EMMA,LMM-EXACT-INBRED,36,34,1,ns
0.3,5,EMMA,LMM-EXACT-LOCO,36,42,1,ns
0.3,5,LMM-EXACT,LMM-EXACT-INBRED,32,34,0.95233,ns
0.3,5,LMM-EXACT,LMM-EXACT-LOCO,32,42,0.17422,ns
0.3,5,LMM-EXACT-INBRED,LMM-EXACT-LOCO,34,42,1,ns
0.4,5,EMMA,LMM-EXACT,45,34,1,ns
0.4,5,EMMA,LMM-EXACT-INBRED,45,40,1,ns
0.4,5,EMMA,LMM-EXACT-LOCO,45,49,1,ns
0.4,5,LMM-EXACT,LMM-EXACT-INBRED,34,40,1,ns
0.4,5,LMM-EXACT,LMM-EXACT-LOCO,34,49,1,ns
0.4,5,LMM-EXACT-INBRED,LMM-EXACT-LOCO,40,49,1,ns
0.5,5,EMMA,LMM-EXACT,49,38,1,ns
0.5,5,EMMA,LMM-EXACT-INBRED,49,46,1,ns
0.5,5,EMMA,LMM-EXACT-LOCO,49,50,1,ns
0.5,5,LMM-EXACT,LMM-EXACT-INBRED,38,46,1,ns
0.5,5,LMM-EXACT,LMM-EXACT-LOCO,38,50,1,ns
0.5,5,LMM-EXACT-INBRED,LMM-EXACT-LOCO,46,50,1,ns
0.6,5,EMMA,LMM-EXACT,49,40,0.69605,ns
0.6,5,EMMA,LMM-EXACT-INBRED,49,50,0.796,ns
0.6,5,EMMA,LMM-EXACT-LOCO,49,50,0.20467,ns
0.6,5,LMM-EXACT,LMM-EXACT-INBRED,40,50,0.796,ns
0.6,5,LMM-EXACT,LMM-EXACT-LOCO,40,50,0.0138,*
0.6,5,LMM-EXACT-INBRED,LMM-EXACT-LOCO,50,50,0.02481,*
0.7,5,EMMA,LMM-EXACT,50,44,1,ns
0.7,5,EMMA,LMM-EXACT-INBRED,50,50,1,ns
0.7,5,EMMA,LMM-EXACT-LOCO,50,50,1,ns
0.7,5,LMM-EXACT,LMM-EXACT-INBRED,44,50,1,ns
0.7,5,LMM-EXACT,LMM-EXACT-LOCO,44,50,0.32848,ns
0.7,5,LMM-EXACT-INBRED,LMM-EXACT-LOCO,50,50,1,ns
0.8,5,EMMA,LMM-EXACT,50,46,0.28505,ns
0.8,5,EMMA,LMM-EXACT-INBRED,50,50,0.77132,ns
0.8,5,EMMA,LMM-EXACT-LOCO,50,50,0.87436,ns
0.8,5,LMM-EXACT,LMM-EXACT-INBRED,46,50,0.87436,ns
0.8,5,LMM-EXACT,LMM-EXACT-LOCO,46,50,0.04972,*
0.8,5,LMM-EXACT-INBRED,LMM-EXACT-LOCO,50,50,0.28505,ns
0.9,5,EMMA,LMM-EXACT,50,48,0.77541,ns
0.9,5,EMMA,LMM-EXACT-INBRED,50,50,0.77541,ns
0.9,5,EMMA,LMM-EXACT-LOCO,50,50,0.44219,ns
0.9,5,LMM-EXACT,LMM-EXACT-INBRED,48,50,0.74062,ns
0.9,5,LMM-EXACT,LMM-EXACT-LOCO,48,50,0.06463,ns
0.9,5,LMM-EXACT-INBRED,LMM-EXACT-LOCO,50,50,0.74062,ns
